t,Tw
2025-06-01,2.3798073761429155
2025-06-02,1.8891745232180521
2025-06-03,0.7760150553428266
2025-06-04,0.3868970846902781
2025-06-05,5.483111255245832
2025-06-06,7.3750457478024805
2025-06-07,2.588004257159497
2025-06-08,2.177882818219814
2025-06-09,5.688587921170311
2025-06-10,7.107789099425149
2025-06-11,4.070375339605486
2025-06-12,-2.5078446270448373
2025-06-13,-4.8092385740856685
2025-06-14,-2.903046074265523
2025-06-15,-3.001511770302056
2025-06-16,-5.503754746146575
2025-06-17,-4.702660243337751
2025-06-18,-4.913096573460871
2025-06-19,-1.5016900789837067
2025-06-20,-2.3111459836041264
2025-06-21,-5.2076821372780415
2025-06-22,-5.377200786080768
2025-06-23,-5.546645553891864
2025-06-24,-5.716017731946111
2025-06-25,-6.816985321445726
2025-06-26,-5.006500121343804
2025-06-27,-6.3176510030362545
2025-06-28,-10.911497193788046
2025-06-29,-8.56934911990356
2025-06-30,-1.6547247570979442
2025-07-01,0.6606053202524074
2025-07-02,1.231705057321565
2025-07-03,2.7630786050687317
2025-07-04,2.1911501960168533
2025-07-05,-3.4014671569520543
2025-07-06,-1.301715221814153
2025-07-07,0.6980143188209028
2025-07-08,1.4582052107814536
2025-07-09,2.2167199071742636
2025-07-10,2.9734345919860057
2025-07-11,3.7282188922988273
2025-07-12,2.920521295111098
2025-07-13,5.099955014701056
2025-07-14,0.8075911489982691
2025-07-15,-2.903046074265523
